name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
The Federation of Hong Kong Food & Beverage Industries Trade Unions,5,,,https://www.hkflu.org.hk/?id=A014&club_id=66,1, point_of_interest establishment,"Hong Kong, Jordan, 九龍佐敦道43號A利成大廈1/F",food trade
Tai Hing Foods Trading Co Ltd,5,2723 2733,+852 2723 2733,https://www.hkflu.org.hk/?id=A014&club_id=66,1, point_of_interest establishment,"Room 602-603, New Mandarin Plaza Tower B, 14 Science Museum Rd, Tsim Sha Tsui East, Hong Kong",food trade
HK Chiu Chow Overseas Food Trade Merchants Assn,5,2390 0659,+852 2390 0659,https://www.hkflu.org.hk/?id=A014&club_id=66,1, point_of_interest establishment,"Nathan Apartments, Yau Ma Tei, Hong Kong",food trade
Chinese & Western Food Workers Union (ERB),5,2776 5128,+852 2776 5128,https://www.hkflu.org.hk/?id=A014&club_id=66,1, point_of_interest establishment,"Hong Kong, 油麻地廣東道559-561號翠玉樓M層",food trade
Saison Trading Ltd,5,2776 5128,+852 2776 5128,http://www.saisonfoodservice.com/-our-company.html,1, store point_of_interest establishment,"Hong Kong, 九龍灣宏冠道鴻力工業中心A座",food trade
WeCo Trade Limited,5,(315) 220-0249,+1 315-220-0249,http://www.wecotrade.com/,1, point_of_interest establishment,"Unit 3A-8, 12/F Kaiser CTR No, 18 Centre St, Sai Ying Pun, Hong Kong",food trade
PROFOOD,5,2518 8886,+852 2518 8886,http://profood.hk/,1, grocery_or_supermarket food point_of_interest store establishment,"Unit 1601, 16/F, Global Trade Square, 21 Wong Chuk Hang Rd, Aberdeen, Hong Kong",food trade
KFC,3.4,2537 7527,+852 2537 7527,https://apporder.kfchk.com/s/N140?utm_source=GMB_Generic&utm_medium=GMBListingN140&utm_campaign=GoogleMyBusiness,394, restaurant food point_of_interest establishment,"1/F, Unicorn Trade Centre, 127-131 Des Voeux Rd Central, Central, Hong Kong",food trade
Welton Trade Agency Company,3.4,2895 4123,+852 2895 4123,https://apporder.kfchk.com/s/N140?utm_source=GMB_Generic&utm_medium=GMBListingN140&utm_campaign=GoogleMyBusiness,394, food point_of_interest establishment,"44號 Leighton Rd, Happy Valley, Hong Kong",food trade
Myung Ga Korean Restaurant,4.1,2882 5056,+852 2882 5056,http://www.myungga.com.hk/,241, restaurant food point_of_interest establishment,"1301 13/F, World Trade Centre, 280 Gloucester Rd, Causeway Bay, Hong Kong",food trade
亞洲素食展 Vegetarian Food Asia,5,3520 3617,+852 3520 3617,http://vegfoodasia.com/,2, point_of_interest establishment,"Hong Kong Convention And Exhibition Centre, Harbour Rd, Wan Chai, Hong Kong",food trade
FAIRTASTE 細味公平,4,2805 2336,+852 2805 2336,https://www.fairtaste.com.hk/,4, food point_of_interest establishment,"13 Kwai Hei St, Kwai Chung, Hong Kong",food trade
Gateway Supermarket,3.4,2545 0338,+852 2545 0338,http://www.gatewaysupermarket.com/,113, supermarket grocery_or_supermarket food point_of_interest store establishment,"2nd Floor, Unicorn Trade Centre, 127-131 Des Voeux Rd Central, Central, Hong Kong",food trade
Food Medicine Lab,5,2389 6329,+852 2389 6329,http://foodmedicinelab.com/,3, food health point_of_interest store establishment,"Kwun Tong, 觀塘駿業街49號佳貿中心二樓205店; Address: Shop 205, 2/F, Free Trade Centre, 49 Tsun Yip St, Kwun Tong, Hong Kong",food trade
Hong Kong Fu Hing Trade Mark Products Company,3,3118 6981,+852 3118 6981,http://foodmedicinelab.com/,1, point_of_interest establishment,"Hong Kong, 旺角亞皆老街33號18號字樓1803室",food trade
Ruby Tuesday,4,2895 1628,+852 2895 1628,http://www.rubytuesday.com.hk/,607, restaurant food point_of_interest establishment,"Shop 1002, World Trade Centre, 280 Gloucester Rd, Causeway Bay, Hong Kong",food trade
C & Y Canfood Trading Co Ltd,4,2413 2131,+852 2413 2131,http://www.cycanfood.com/,1, food point_of_interest establishment,"Southeast Industrial Building, 611-619號 Castle Peak Rd - Tsuen Wan, Tsuen Wan, Hong Kong",food trade
Hong Kong Food Safety Association Limited,4,3758 2800,+852 3758 2800,http://hkfsa.com.hk/,1, point_of_interest establishment,"11/F, Fuk Chiu Fty Bldg20 Bute St, MongKok, Kln, Mong Kok, Hong Kong",food trade
Hong Kong Food and Environmental Hygiene Department Staff Rights Union,4,3758 2800,+852 3758 2800,http://hkfsa.com.hk/,1, point_of_interest establishment,"No 1-3, G/F, Kwai Yan House, Kwai Fong Estate, Kwai Chung, N.T., Kwai Fong, Hong Kong",food trade
CY Food Trading (HK) Co. Ltd,4,3929 1088,+852 3929 1088,http://www.cyfood.com.hk/en/info/contact-us.html,1, food point_of_interest establishment,"Room B, 1/F, Sunking Industry Building, 1-7 Shing Chuen Road, Tai Wai, Sha Tin, New Territories, Tai Wai, Hong Kong",food trade
