name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
日本零食批發 HKfoodWholesale.com,1,6930 8797,+852 6930 8797,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,1, grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"58 Lei Muk Rd, Kwai Chung, Hong Kong",零食经销
盈之屋零食生活超市,1,6930 8797,+852 6930 8797,https://www.facebook.com/changshawan/,1, grocery_or_supermarket food point_of_interest store establishment,"87 Kwong Fuk Rd, Tai Po, Hong Kong",零食经销
和盛號零食批發,3.7,2716 3823,+852 2716 3823,http://www.woshingho.com/,3, point_of_interest establishment,"Hong Kong, Fo Tan, Au Pui Wan St, 26-28號, Fo Tan Industrial Centre, 1702",零食经销
糖街,2.9,9269 1773,+852 9269 1773,http://www.bonbonbonsss.com/,8, food point_of_interest store establishment,"668 Nathan Rd, Mong Kok, Hong Kong",零食经销
Super K,5,5113 2649,+852 5113 2649,http://www.bonbonbonsss.com/,8, grocery_or_supermarket food point_of_interest store establishment,"863 Lai Chi Kok Road Shop 26, 1/F, Banyan Mall, Cheung Sha Wan, Hong Kong",零食经销
新世界韓國食品 New World Mart,4,2369 5074,+852 2369 5074,https://www.coreanmart.com/,351, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 尖沙咀金巴利街5號G/F",零食经销
大發行食品公司,5,2548 5333,+852 2548 5333,http://www.tfhsuper.com/,2, food point_of_interest establishment,"Hong Kong, Sai Ying Pun, Third St, 32號36三喜樓地下, 西环",零食经销
"Sweetangel HK 香港詩唯諾,台灣第一品牌 0%無蔗糖食品",4.5,3590 9728,+852 3590 9728,http://www.sweetangel.com.hk/,4, food health point_of_interest store establishment,"Hong Kong, Kwun Tong, Tsun Yip St, 62號, Capital Trade Centre, 20樓 A室",零食经销
One More Choice,3.2,3590 9728,+852 3590 9728,http://www.sweetangel.com.hk/,5, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 深水埗北河街173號地下A舖",零食经销
759阿信屋,3.8,3669 6728,+852 3669 6728,http://www.759store.com/,64, store convenience_store supermarket grocery_or_supermarket food point_of_interest establishment,"土瓜灣農圃道18號低層地下1及2, 號鋪, Kau Pui Lung, Hong Kong",零食经销
C!ty’super,4.1,2375 8222,+852 2375 8222,http://www.citysuper.com.hk/,1450, department_store supermarket grocery_or_supermarket food point_of_interest store establishment,"Harbour City, 3-27 Canton Rd, Tsim Sha Tsui, Hong Kong",零食经销
進浩有限公司環球食品,3.3,2375 8222,+852 2375 8222,http://www.citysuper.com.hk/,3, food point_of_interest establishment,"Hong Kong, 葵涌國瑞路88號地下2號舖",零食经销
越點 Vietcom,4.5,6881 1431,+852 6881 1431,https://www.vietcom.hk/,10, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 旺角豉油街29號號舖地下",零食经销
越點 Vietcom,5,6614 1311,+852 6614 1311,https://www.vietcom.hk/,1, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Hung Hom, 紅墈廣場52B號舖地下",零食经销
Un Chi Enterprise Development Company,5,2650 3802,+852 2650 3802,https://www.vietcom.hk/,1, grocery_or_supermarket food point_of_interest store establishment,"Goldfield Industrial Centre, Fo Tan, Hong Kong",零食经销
大發行食品公司,5,2548 5333,+852 2548 5333,https://www.vietcom.hk/,1, food point_of_interest establishment,"Hong Kong, 西營盤第三街32-36號三喜樓地下",零食经销
三喜國際食品有限公司 Sam Hei International Food Limited,2.3,2614 3806,+852 2614 3806,http://www.samheifood.com/,10, food point_of_interest establishment,"Hong Kong, Kwai Chung, 香港葵涌葵喜街14-16號華福工業大廈十二樓G座",零食经销
同順興,4.3,2517 1523,+852 2517 1523,http://www.samheifood.com/,47, grocery_or_supermarket furniture_store home_goods_store food point_of_interest store establishment,"Hong Kong, Sheung Wan, Connaught Rd W, 68號號地下",零食经销
759阿信屋,3.5,3669 6711,+852 3669 6711,http://www.759store.com/,8, store convenience_store supermarket grocery_or_supermarket food point_of_interest establishment,"Hong Kong, Central, 香港站 HOK 13A &13B號舖",零食经销
Organic Taste 品味有機,5,2117 0312,+852 2117 0312,http://www.organictaste.com.hk/,1, grocery_or_supermarket food health point_of_interest store establishment,"Room 1040, Floor 10, Block D, East Sun Industrial Centre, 16 Shing Yip St, Kwun Tong, Hong Kong",零食经销
