name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
祥旺貿易公司,4.1,2344 6867,+852 2344 6867,,7, food point_of_interest store establishment,"Hong Kong, Kwun Tong, Hoi Yuen Rd, 68號, Kwun Tong Plaza, 地下19",零食贸易
3.3零食館,4.5,2344 6867,+852 2344 6867,,2, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 大角咀鐵樹街24號, Tsui Yuen Mansion Phase 1, 富多來新村6號鋪",零食贸易
日本零食批發 HKfoodWholesale.com,1,6930 8797,+852 6930 8797,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,1, grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"58 Lei Muk Rd, Kwai Chung, Hong Kong",零食贸易
祥華食品批發公司,3.8,2389 9755,+852 2389 9755,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,350, grocery_or_supermarket food point_of_interest store establishment,"號 地下 C 座, Everest Industrial Centre, 396 Kwun Tong Rd, Kwun Tong, Hong Kong",零食贸易
Kwan Hong Yuen Trading Co Ltd,3.8,2407 3137,+852 2407 3137,http://www.kwanhongyuen.com/,350, food point_of_interest establishment,"Ming Wah Industrial Building, Tsuen Wan, Hong Kong",零食贸易
零食新地帶,3.8,2407 3137,+852 2407 3137,http://www.hk861.com/web.php?id=97743,350, food point_of_interest store establishment,"L121, Kwai Shing East Shopping Centre, Kwai Chung, Hong Kong",零食贸易
香港零食大王Lingsik,4,2556 9777,+852 2556 9777,http://www.lingsik.com/?utm_source=googlemybusiness&utm_medium=referral,5, grocery_or_supermarket convenience_store shopping_mall food point_of_interest store establishment,"Hong Kong, 屯門業旺路8號聯昌中心25樓2513室",零食贸易
"King Shun Trading Co., Ltd.",4,2549 9956,+852 2549 9956,https://www.kimerson.com/,1, point_of_interest establishment,"162 Wing Lok St, Sheung Wan, Hong Kong",零食贸易
和盛號零食批發,3.7,2716 3823,+852 2716 3823,http://www.woshingho.com/,3, point_of_interest establishment,"Hong Kong, Fo Tan, Au Pui Wan St, 26-28號, Fo Tan Industrial Centre, 1702",零食贸易
Ameyokocho,4.6,2716 3823,+852 2716 3823,https://m.facebook.com/ameyokocho/,8, grocery_or_supermarket food point_of_interest store establishment,"396 Lai Chi Kok Rd, Sham Shui Po, Hong Kong",零食贸易
零食皇,1,5192 0908,+852 5192 0908,https://m.facebook.com/ameyokocho/,1, convenience_store food point_of_interest store establishment,"No. 2120A - 2121A, 2F, Zone A, Lok Ku Rd, Place, Hong Kong",零食贸易
金田井·駄菓子屋,2.4,2488 4998,+852 2488 4998,http://www.facebook.com/kanedaWell,5, grocery_or_supermarket food point_of_interest store establishment,"Tuen Mun, Hong Kong",零食贸易
萬佳貿易公司 Man Kai Trading Co.,2.4,9145 0013,+852 9145 0013,https://marshmallowmk.business.site/,5, point_of_interest establishment,"330號 Tan Kwai Tsuen Rd, Hung Shui Kiu, Hong Kong",零食贸易
水晶屋,4.3,9348 9409,+852 9348 9409,http://crystalhouse.com.hk/,4, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Lai Chi Kok, D2第一期",零食贸易
Kaneda-Well Super Value Market,4,2762 2133,+852 2762 2133,http://crystalhouse.com.hk/,1, grocery_or_supermarket food point_of_interest store establishment,"60 Chung Hau St, Ho Man Tin, Hong Kong",零食贸易
