name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
匯隆食品公司,,,,,, grocery_or_supermarket food point_of_interest store establishment,"38號 San Tsuen St, Tsuen Wan, Hong Kong",零食销售
日本零食批發 HKfoodWholesale.com,1,6930 8797,+852 6930 8797,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,1, grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"58 Lei Muk Rd, Kwai Chung, Hong Kong",零食销售
好好味零食店,4.3,3514 6328,+852 3514 6328,https://www.home-snack.com/,9, grocery_or_supermarket food point_of_interest store establishment,"深旺道海麗商場111, 號舖, Lai Chi Kok, Hong Kong",零食销售
Snack Store,4.3,3514 6328,+852 3514 6328,https://www.home-snack.com/,9, point_of_interest establishment,"San Po Kong Plaza, 2/F, C63, San Po Kong, Hong Kong",零食销售
零食物語 Okashi Land,3,2797 9967,+852 2797 9967,http://www.okashiland.com/,1, grocery_or_supermarket food point_of_interest store establishment,"青衣 青衣 機 鐵 站 TSY 4 舖, Tsing Yi, Hong Kong",零食销售
香港零食大王Lingsik,4,2556 9777,+852 2556 9777,http://www.lingsik.com/?utm_source=googlemybusiness&utm_medium=referral,5, grocery_or_supermarket convenience_store shopping_mall food point_of_interest store establishment,"Hong Kong, 屯門業旺路8號聯昌中心25樓2513室",零食销售
Foodie Yard 生酮低碳天然健康零食凍肉食品專門店,5,6892 2227,+852 6892 2227,https://www.foodieyardhk.com/,1, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Causeway Bay, Great George St, Shop 268, 銅鑼灣地帶 2樓 268號舖",零食销售
零食之多,5,6892 2227,+852 6892 2227,https://www.foodieyardhk.com/,1, point_of_interest establishment,"San PO Kong Plaza, 2/F, C57A, San Po Kong, Hong Kong",零食销售
香港零食大王有限公司 紅磡門市,5,9541 7574,+852 9541 7574,http://lingsik.com/,1, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Hung Hom, MTR Hung Hom Station, HUH E4號鋪",零食销售
DKJ Mall 打工仔百貨,5,6818 3283,+852 6818 3283,http://www.dkjmall.com/,1, supermarket grocery_or_supermarket food point_of_interest store establishment,"Unit O-1, 11/F, Industrial Ctr, Wah Lik Industrial Centre, 465 Castle Peak Rd - Tsuen Wan, Tsuen Wan, Hong Kong",零食销售
