name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
"Beijing Grain, Cooking Oil and Foodstuffs Import and Export Corporation Shenzhen Office",,,,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号",食品进出口
青海省粮油食品进出口公司冷冻厂深圳营业部,,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 文锦中路名阳阁9号",食品进出口
江苏省粮油食品进出口（集团）公司深圳中转站,,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号10层1201",食品进出口
宁波市粮油食品进出口公司深圳中转站,,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号12层1207",食品进出口
陕西省粮油食品进出口公司深圳中转站,,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号12层",食品进出口
"Zhongliang Jilin Grain, Cooking Oil and Foodstuffs Import and Export Corporation Shenzhen Office",,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号",食品进出口
"Shenzhen Grain, Cooking Oil and Foodstuffs Import and Export Corporation",,0755 2515 7026,+86 755 2515 7026,,, point_of_interest establishment,"3018 Dongmen S Rd, 人民南路罗湖区深圳市广东省 China, 518001",食品进出口
中国粮油食品进出口总公司驻深圳商标管理处,,0755 8228 8393,+86 755 8228 8393,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, Ren Min Nan Lu, 东门南路",食品进出口
安徽省粮油食品进出口集团公司深圳分公司,,0755 8228 8393,+86 755 8228 8393,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Futian Qu, Hua Qiang Bei, 深南中路统建楼三栋413号",食品进出口
哈尔滨粮油食品进出口公司深圳中转站,,0755 8228 8393,+86 755 8228 8393,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1",食品进出口
上海市食品进出口公司深圳中转站,,0755 8228 8393,+86 755 8228 8393,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 北站路1号10层1005",食品进出口
梅州粮油食品进出口公司龙岗嘉宝贸易公司,,0755 2874 0897,+86 755 2874 0897,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Nanshan Qu, She Kou, 布吉镇兴华路0009号",食品进出口
广西壮族自治区粮油食品进出口公司深圳公司,,0755 8232 6896,+86 755 8232 6896,,, point_of_interest establishment,"China, Guangdong Province, Shenzhen, Luohu District, Renmin South Road, 春风路3001号5楼",食品进出口
惠东食品进出口公司,,0755 8232 6896,+86 755 8232 6896,,, point_of_interest establishment,"China, Guangdong Province, Shenzhen, Luohu District, Man Kam To, 东门南路8F813室",食品进出口
广州粮油食品白云进出口公司,,0755 2560 7460,+86 755 2560 7460,,, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Luohu Qu, 翠竹路2号",食品进出口
Faithco International Limited,5,2895 5580,+852 2895 5580,https://www.faithco.com.hk/,2, food point_of_interest establishment,"No.510, 5/F Fat Lee Industrial Building, 17 Hung To Road, Kwun Tong, Hong Kong",食品进出口
深圳市食品商会,5,0755 8373 8511,+86 755 8373 8511,https://www.faithco.com.hk/,2, point_of_interest establishment,"China, Guangdong Sheng, Shenzhen Shi, Futian Qu, 深南大道6006号华丰大厦3106室 邮政编码: 518034",食品进出口
日本零食批發 HKfoodWholesale.com,1,6930 8797,+852 6930 8797,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,1, grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"58 Lei Muk Rd, Kwai Chung, Hong Kong",食品进出口
深圳市怡都进出口贸易有限公司,1,0755 8232 4341,+86 755 8232 4341,https://hkfoodwholesale.business.site/?utm_source=gmb&utm_medium=referral,1, point_of_interest establishment,"China, Guangdong Province, Shenzhen, Luohu District, Renmin South Road, 东门南路1033号食品大厦B座10楼1003",食品进出口
Sweetangel HK 詩唯諾,5,2890 3933,+852 2890 3933,http://www.sweetangel.com.hk/,1, food health point_of_interest store establishment,"Capital Trade Centre, 62號 Tsun Yip St, Kwun Tong, Hong Kong",食品进出口
